sample_id,Type,UMAP1,UMAP2,motility_cluster
8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_1000002424,wt_B-cell,11.145822,16.965134,1
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000006098,wt_B-cell,11.123015,15.9444275,1
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000008900,wt_B-cell,11.117912,15.560114,1
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_wt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000013061,wt_B-cell,11.163804,17.42031,0
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_wt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000007690,wt_B-cell,10.91768,17.588783,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000002405,mt_B-cell,13.074864,17.276226,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000008306,mt_B-cell,12.777288,16.689854,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000008307,mt_B-cell,13.026773,16.465363,3
4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_1000007235,mt_B-cell,13.268726,16.220808,3
4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_1000005510,mt_B-cell,11.590119,15.138329,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000008654,mt_B-cell,12.503976,15.374996,2
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000014270,mt_B-cell,13.500368,16.114183,3
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000006998,mt_B-cell,12.520587,16.753431,0
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000008134,mt_B-cell,13.147974,16.574362,3
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000019705,mt_B-cell,12.854473,16.348682,3
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000010821,mt_B-cell,12.255227,16.326149,3
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000022065,mt_B-cell,12.7288685,16.234756,2
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000005968,mt_B-cell,12.715078,15.354505,2
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000016366,mt_B-cell,12.831617,15.799229,2
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000016807,mt_B-cell,13.290087,16.413395,3
